source,target,value
Adalbert Waffling,Bathilda Bagshot,6
Adalbert Waffling,Miranda Goshawk,5
Adalbert Waffling,Newt Scamander,6
Adrian Pucey,George Weasley,6
Adrian Pucey,Lee Jordan,6
Adrian Pucey,Marcus Flint,6
Adrian Pucey,Terence Higgs,3
Agatha Timms,Ludo Bagman,3
Agatha Timms,Roddy Pontner,6
Aidan Lynch,Connolly,6
Aidan Lynch,Quigley,4
Albus Dumbledore,Augusta Longbottom,1
Albus Dumbledore,Avery,3
Albus Dumbledore,Billy Stubbs,2
Albus Dumbledore,Charity Burbage,2
Albus Dumbledore,Dobby,16
Albus Dumbledore,Draco Malfoy,11
Albus Dumbledore,Gellert Grindelwald,11
Albus Dumbledore,Griselda Marchbanks,4
Albus Dumbledore,Harry Potter,28
Albus Dumbledore,Karkus,6
Albus Dumbledore,Mad-Eye Moody,3
Albus Dumbledore,Nicolas Flamel,3
Albus Dumbledore,Pansy Parkinson,4
Albus Dumbledore,Percy Weasley,1
Albus Dumbledore,Rita Skeeter,22
Albus Dumbledore,Rubeus Hagrid,5
Albus Dumbledore,Severus Snape,8
Albus Dumbledore,Sirius Black,5
Albus Dumbledore,Tiberius Ogden,4
Albus Dumbledore,Xenophilius Lovegood,1
Alecto Carrow,Merlin,3
Alecto Carrow,Severus Snape,5
Alice Longbottom,Emmeline Vance,4
Alice Longbottom,Marlene McKinnon,5
Alicia Spinnet,Angelina Johnson,11
Alicia Spinnet,Cho Chang,3
Alicia Spinnet,Colin Creevey,3
Alicia Spinnet,Geoffrey Hooper,2
Alicia Spinnet,George Weasley,6
Alicia Spinnet,Katie Bell,12
Alicia Spinnet,Lee Jordan,5
Alicia Spinnet,Luna Lovegood,4
Alicia Spinnet,Marcus Flint,6
Alicia Spinnet,Miles Bletchley,6
Alicia Spinnet,Warrington,6
Ambrosius Flume,Barnabas Cuffe,5
Ambrosius Flume,Gwenog Jones,5
Amos Diggory,Apollyon Pringle,3
Amos Diggory,Cedric Diggory,4
Amos Diggory,Harry Potter,13
Amos Diggory,Merlin,10
Amos Diggory,Rita Skeeter,3
Amos Diggory,Winky,2
Amy Benson,Dennis Bishop,12
Andrew Kirke,Jack Sloper,6
Angelina Johnson,Dennis Creevey,6
Angelina Johnson,George Weasley,5
Angelina Johnson,Katie Bell,14
Angelina Johnson,Lee Jordan,4
Angelina Johnson,Montague,8
Angelina Johnson,Warrington,6
Angus Fleet,Hetty Bayliss,5
Anthony Goldstein,Ernie Macmillan,6
Anthony Goldstein,Gregory Goyle,6
Anthony Goldstein,Hannah Abbott,11
Anthony Goldstein,Justin Finch-Fletchley,6
Anthony Goldstein,Luna Lovegood,4
Anthony Goldstein,Michael Corner,17
Anthony Goldstein,Terry Boot,6
Anthony Goldstein,Zacharias Smith,5
Antonin Dolohov,Fabian Prewett,6
Arabella Doreen Figg,Harry Potter,5
Aragog,Cormac McLaggen,2
Aragog,Fang,9
Aragog,Grawp,8
Aragog,Horace Slughorn,7
Aragog,Moaning Myrtle,8
Aragog,Norbert,5
Aragog,Yaxley,6
Archie,Ludo Bagman,6
Archie,Oliver Wood,3
Argus Filch,Dobby,4
Argus Filch,Draco Malfoy,3
Argus Filch,Nearly Headless Nick,2
Argus Filch,Peeves,12
Ariana Dumbledore,Bathilda Bagshot,4
Armando Dippet,Arthur Weasley,3
Armando Dippet,Rita Skeeter,6
Arnold,Hedwig,6
Arnold,Lavender Brown,3
Arnold,Romilda Vane,8
Arthur Weasley,Dobby,2
Arthur Weasley,Errol,2
Arthur Weasley,Ginny Weasley,1
Arthur Weasley,Harry Potter,24
Arthur Weasley,Lucius Malfoy,16
Arthur Weasley,Scabbers,1
Arthur Weasley,Ted Tonks,3
Arthur Weasley,Vernon Dursley,5
Augustus Rookwood,Mulciber,5
Auntie Muriel,Bathilda Bagshot,6
Auntie Muriel,Cho Chang,4
Auntie Muriel,Harry Potter,3
Auntie Muriel,Rita Skeeter,10
Auntie Muriel,Xenophilius Lovegood,2
Avery,Broderick Bode,5
Avery,Crabbe,6
Avery,James Potter,5
Avery,Mary Macdonald,3
Avery,Mulciber,15
Bane,Firenze,93
Bane,Horace Slughorn,4
Bane,Magorian,42
Bane,Ronan,42
Barnabas Cuffe,Dirk Cresswell,3
Barry Ryan,Miles Bletchley,2
Barry Ryan,Warrington,3
Baruffio,Eddie Carmichael,6
Bathilda Bagshot,Dirk Cresswell,6
Bathilda Bagshot,Gellert Grindelwald,6
Bathilda Bagshot,Godric Gryffindor,4
Bathilda Bagshot,Gornuk,8
Bathilda Bagshot,Harry Potter,4
Bathilda Bagshot,Lily Potter,3
Bathilda Bagshot,Nicolas Flamel,6
Bathilda Bagshot,Ted Tonks,3
Beedle the Bard,Xenophilius Lovegood,1
Bellatrix Lestrange,Bogrod,4
Bellatrix Lestrange,Dobby,2
Bellatrix Lestrange,Griphook,8
Bellatrix Lestrange,Harry Potter,3
Bellatrix Lestrange,Kreacher,25
Bellatrix Lestrange,Sirius Black,3
Bellatrix Lestrange,Stan Shunpike,5
Benjy Fenwick,Edgar Bones,4
Benjy Fenwick,Emmeline Vance,5
Benjy Fenwick,Gideon Prewett,6
Bertha Jorkins,Frank Bryce,2
Bertha Jorkins,Rita Skeeter,1
Bertha Jorkins,Winky,15
Bertram Aubrey,James Potter,5
Binky,Dean Thomas,3
Bletchley,Montague,4
Bletchley,Percy Weasley,1
Bletchley,Warrington,6
Bletchley,Yaxley,2
Bogrod,Griphook,19
Bogrod,Harry Potter,6
Bogrod,Travers,16
Bole,Derrick,24
Bole,Fred Weasley,2
Bowman Wright,Godric Gryffindor,7
Bozo,Ludo Bagman,5
Bozo,Rita Skeeter,1
Bradley,Lee Jordan,3
Bradley,Roger Davies,2
Buckbeak,Charlie Weasley,2
Buckbeak,Fang,2
Buckbeak,Hannah Abbott,3
Buckbeak,Hedwig,8
Buckbeak,Kreacher,14
Buckbeak,Lucius Malfoy,6
Buckbeak,Percy Weasley,4
Buckbeak,Seamus Finnigan,1
Buckbeak,Winky,8
Caradoc Dearborn,Elphias Doge,4
Caradoc Dearborn,Sturgis Podmore,5
Cedric Diggory,Fleur Delacour,12
Cedric Diggory,Harry Potter,6
Cedric Diggory,Hedwig,13
Cedric Diggory,Hermione Granger,1
Cedric Diggory,Penelope Clearwater,6
Cedric Diggory,Viktor Krum,7
Cedric Diggory,Zacharias Smith,2
Charity Burbage,Hedwig,2
Cho Chang,Ernie Macmillan,6
Cho Chang,Katie Bell,6
Cho Chang,Lee Jordan,8
Cho Chang,Luna Lovegood,5
Cho Chang,Michael Corner,4
Cho Chang,Montague,2
Cho Chang,Ripper,2
Cho Chang,Viktor Krum,4
Circe,Merlin,6
Circe,Morgana,6
Cliodna,Merlin,5
Colin Creevey,Dobby,3
Colin Creevey,Firenze,5
Colin Creevey,Gilderoy Lockhart,5
Colin Creevey,Ginny Weasley,9
Colin Creevey,Harry Potter,4
Colin Creevey,Hedwig,4
Colin Creevey,Hermione Granger,6
Colin Creevey,Kingsley Shacklebolt,5
Colin Creevey,Neville Longbottom,2
Colin Creevey,Parvati Patil,6
Colin Creevey,Rita Skeeter,4
Connolly,Troy,5
Cormac McLaggen,Draco Malfoy,3
Cormac McLaggen,Lavender Brown,8
Cormac McLaggen,Marcus Belby,4
Crabbe,Crookshanks,1
Crabbe,Draco Malfoy,16
Crabbe,Ernie Macmillan,6
Crabbe,Ginny Weasley,4
Crabbe,Lucius Malfoy,4
Crabbe,Millicent Bulstrode,13
Crabbe,Oliver Wood,3
